Function,Method,n,Approximation,Error,Time (s)
x^2,Trapezoidal,10,0.334950165,0.0016171650000000315,0.0014781951904296875
x^2,Simpson,10,0.33333300000000005,5.551115123125783e-17,0.006397247314453125
x^2,Gaussian,10,0.3333329999999998,1.6653345369377348e-16,0.00018644332885742188
x^2,Trapezoidal,120,0.3333442303125,1.1230312499999062e-05,0.0002048015594482422
x^2,Simpson,120,0.33333300000000005,5.551115123125783e-17,0.00021314620971679688
x^2,Gaussian,120,0.33333299999999927,7.216449660063518e-16,0.00013446807861328125
x^2,Trapezoidal,230,0.3333360570226843,3.057022684327393e-06,0.00021886825561523438
x^2,Simpson,230,0.33333300000000005,5.551115123125783e-17,0.0001652240753173828
x^2,Gaussian,230,0.33333300000000116,1.1657341758564144e-15,0.00013136863708496094
x^2,Trapezoidal,340,0.3333343989316609,1.3989316609008817e-06,0.00020551681518554688
x^2,Simpson,340,0.33333300000000005,5.551115123125783e-17,0.00017499923706054688
x^2,Gaussian,340,0.33333299999999194,8.049116928532385e-15,9.775161743164062e-05
x^2,Trapezoidal,450,0.33333379860000006,7.986000000737015e-07,0.00013017654418945312
x^2,Simpson,450,0.33333300000000005,5.551115123125783e-17,0.000118255615234375
x^2,Gaussian,450,0.3333329999999956,4.385380947269368e-15,8.058547973632812e-05
x^2,Trapezoidal,560,0.3333335156776147,5.15677614720822e-07,0.00010633468627929688
x^2,Simpson,560,0.33333299999999993,5.551115123125783e-17,0.00012636184692382812
x^2,Gaussian,560,0.333332999999986,1.3988810110276972e-14,8.58306884765625e-05
x^2,Trapezoidal,670,0.3333333602506126,3.6025061261879543e-07,0.00010728836059570312
x^2,Simpson,670,0.33333299999999993,5.551115123125783e-17,0.00015163421630859375
x^2,Gaussian,670,0.3333330000000079,7.882583474838611e-15,0.00013256072998046875
x^2,Trapezoidal,780,0.33333326580621303,2.6580621304006513e-07,0.0001735687255859375
x^2,Simpson,780,0.333333,0.0,0.00022077560424804688
x^2,Gaussian,780,0.33333300000001087,1.0880185641326534e-14,0.00010514259338378906
x^2,Trapezoidal,890,0.3333332041617221,2.0416172208381766e-07,0.00012826919555664062
x^2,Simpson,890,0.333333,0.0,0.0002994537353515625
x^2,Gaussian,890,0.33333299999999366,6.328271240363392e-15,0.0011179447174072266
x^2,Trapezoidal,1000,0.33333316171649996,1.6171649996898907e-07,0.00016617774963378906
x^2,Simpson,1000,0.333333,0.0,0.00015592575073242188
x^2,Gaussian,1000,0.3333329999999675,3.247402347028583e-14,0.00010132789611816406
sin(x),Trapezoidal,10,0.4592722159552806,0.0003754785932449378,0.00021004676818847656
sin(x),Simpson,10,0.4596479401326643,2.455841387472013e-07,0.00012302398681640625
sin(x),Gaussian,10,0.4596476945485256,5.551115123125783e-17,8.106231689453125e-05
sin(x),Trapezoidal,120,0.4596450874813007,2.607067224880133e-06,0.00010085105895996094
sin(x),Simpson,120,0.4596476945603553,1.182975939428843e-11,0.00010609626770019531
sin(x),Gaussian,120,0.45964769454852566,1.1102230246251565e-16,7.009506225585938e-05
sin(x),Trapezoidal,230,0.45964698487485744,7.096736681089233e-07,0.000102996826171875
sin(x),Simpson,230,0.4596476945494022,8.766321002440236e-13,0.00010061264038085938
sin(x),Gaussian,230,0.4596476945485252,3.3306690738754696e-16,7.43865966796875e-05
sin(x),Trapezoidal,340,0.45964736979306914,3.247554564156374e-07,0.00010609626770019531
sin(x),Simpson,340,0.4596476945487091,1.8351986597053838e-13,0.00011277198791503906
sin(x),Gaussian,340,0.4596476945485275,1.942890293094024e-15,8.106231689453125e-05
sin(x),Trapezoidal,450,0.4596475091572738,1.8539125173910875e-07,0.00010633468627929688
sin(x),Simpson,450,0.45964769454858545,5.98965321785272e-14,0.00011706352233886719
sin(x),Gaussian,450,0.45964769454852666,1.1102230246251565e-15,8.916854858398438e-05
sin(x),Trapezoidal,560,0.4596475748363846,1.1971214097794558e-07,0.00011920928955078125
sin(x),Simpson,560,0.4596476945485506,2.503552920529728e-14,0.0001888275146484375
sin(x),Gaussian,560,0.4596476945485289,3.3306690738754696e-15,0.00014448165893554688
sin(x),Trapezoidal,670,0.4596476109180359,8.363048964454833e-08,0.0001354217529296875
sin(x),Simpson,670,0.4596476945485377,1.2156942119645464e-14,0.00011301040649414062
sin(x),Gaussian,670,0.4596476945485236,1.942890293094024e-15,0.000141143798828125
sin(x),Trapezoidal,780,0.45964763284286075,6.170566480001582e-08,0.00013208389282226562
sin(x),Simpson,780,0.4596476945485322,6.661338147750939e-15,0.00012731552124023438
sin(x),Gaussian,780,0.45964769454852294,2.609024107869118e-15,9.417533874511719e-05
sin(x),Trapezoidal,890,0.45964764715334044,4.73951851098775e-08,0.00012302398681640625
sin(x),Simpson,890,0.4596476945485295,3.941291737419306e-15,0.00013017654418945312
sin(x),Gaussian,890,0.4596476945485271,1.5543122344752192e-15,0.00011110305786132812
sin(x),Trapezoidal,1000,0.45964765700679955,3.754172600567429e-08,0.0001556873321533203
sin(x),Simpson,1000,0.459647694548528,2.4424906541753444e-15,0.0001609325408935547
sin(x),Gaussian,1000,0.4596476945485332,7.66053886991358e-15,0.00016880035400390625
exp(-x^2),Trapezoidal,10,0.7362396882486916,0.0005847778870688991,0.00022935867309570312
exp(-x^2),Simpson,10,0.736825184700911,7.185651504926227e-07,0.010451793670654297
exp(-x^2),Gaussian,10,0.7368244661357607,2.220446049250313e-16,8.988380432128906e-05
exp(-x^2),Trapezoidal,120,0.7368204064208109,4.059714949544713e-06,0.0004012584686279297
exp(-x^2),Simpson,120,0.7368244661705431,3.478262122769138e-11,0.0004420280456542969
exp(-x^2),Gaussian,120,0.7368244661357608,3.3306690738754696e-16,0.00010037422180175781
exp(-x^2),Trapezoidal,230,0.7368233610354932,1.105100267295711e-06,0.0004010200500488281
exp(-x^2),Simpson,230,0.7368244661383381,2.577604796272226e-12,0.0005166530609130859
exp(-x^2),Gaussian,230,0.7368244661357602,2.220446049250313e-16,0.00011301040649414062
exp(-x^2),Trapezoidal,340,0.7368239604282723,5.057074882186541e-07,0.0004246234893798828
exp(-x^2),Simpson,340,0.7368244661363003,5.397904345727511e-13,0.0005908012390136719
exp(-x^2),Gaussian,340,0.7368244661357636,3.1086244689504383e-15,0.000118255615234375
exp(-x^2),Trapezoidal,450,0.7368241774454941,2.886902663590263e-07,0.0004146099090576172
exp(-x^2),Simpson,450,0.7368244661359366,1.7608137170554983e-13,0.0004980564117431641
exp(-x^2),Gaussian,450,0.7368244661357624,1.887379141862766e-15,0.00012159347534179688
exp(-x^2),Trapezoidal,560,0.7368242797206592,1.8641510124428606e-07,0.0008573532104492188
exp(-x^2),Simpson,560,0.7368244661358339,7.338574192772285e-14,0.0005462169647216797
exp(-x^2),Gaussian,560,0.7368244661357658,5.329070518200751e-15,0.010446786880493164
exp(-x^2),Trapezoidal,670,0.7368243359068142,1.302289462934425e-07,0.00031566619873046875
exp(-x^2),Simpson,670,0.7368244661357964,3.597122599785507e-14,0.00028824806213378906
exp(-x^2),Gaussian,670,0.7368244661357576,2.886579864025407e-15,0.00017189979553222656
exp(-x^2),Trapezoidal,780,0.7368243700480337,9.608772677527355e-08,0.00020313262939453125
exp(-x^2),Simpson,780,0.7368244661357801,1.965094753586527e-14,0.00022077560424804688
exp(-x^2),Gaussian,780,0.7368244661357565,3.9968028886505635e-15,0.00017952919006347656
exp(-x^2),Trapezoidal,890,0.7368243923322353,7.380352518016053e-08,0.00018930435180664062
exp(-x^2),Simpson,890,0.736824466135772,1.1546319456101628e-14,0.00016498565673828125
